epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,478.421,0.62618,1.04387,0.90536,0.56399,0.55366,0.57161,0.4632,0.67687,0.98969,0.88564,0.00012956,0.00012956,0.00012956
43,490.61,0.67492,1.06407,0.91251,0.56671,0.5593,0.5679,0.46254,0.67045,0.96776,0.88051,0.000126306,0.000126306,0.000126306
44,502.834,0.62764,1.00131,0.89569,0.58203,0.57662,0.57796,0.46352,0.67901,0.96127,0.87817,0.000123051,0.000123051,0.000123051
45,514.944,0.63176,0.99496,0.90496,0.63529,0.52031,0.57665,0.45856,0.68422,0.9924,0.88341,0.000119796,0.000119796,0.000119796
46,526.993,0.64274,0.99472,0.9128,0.60553,0.57191,0.58745,0.47336,0.67884,0.93814,0.87607,0.000116542,0.000116542,0.000116542
47,539.086,0.65439,1.00402,0.89676,0.58725,0.56894,0.57386,0.45824,0.68071,0.97568,0.88363,0.000113287,0.000113287,0.000113287
48,551.221,0.63509,0.94517,0.89069,0.61793,0.54841,0.57647,0.46262,0.67722,0.93909,0.88458,0.000110033,0.000110033,0.000110033
49,563.254,0.59691,0.91909,0.88926,0.66849,0.53251,0.57788,0.45903,0.68175,0.95509,0.88713,0.000106778,0.000106778,0.000106778
50,575.369,0.64073,0.95201,0.89747,0.6149,0.55054,0.60266,0.477,0.68117,0.93443,0.8868,0.000103523,0.000103523,0.000103523
51,587.556,0.61239,0.96262,0.90058,0.71856,0.51998,0.59151,0.47473,0.68772,0.92531,0.89389,0.000100269,0.000100269,0.000100269
52,599.724,0.60657,0.92063,0.89509,0.67647,0.54982,0.61429,0.49421,0.66571,0.91674,0.88021,9.70141e-05,9.70141e-05,9.70141e-05
